,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3
22,0,16,1,1,4,2,1,2,0,0,1,0,4,5,1,4,5,2,15,15,16
23,0,16,1,1,2,2,2,2,0,1,1,0,5,4,4,6,5,0,13,13,12
24,1,15,0,1,2,4,1,3,0,1,1,0,4,3,2,2,5,2,10,9,8
25,1,16,0,1,2,2,1,1,2,1,1,0,1,2,2,4,5,14,6,9,8
26,0,15,0,1,2,2,1,1,0,1,1,0,4,2,2,3,5,2,12,12,11
27,0,15,0,1,4,2,1,1,0,0,1,0,2,2,4,6,1,4,15,16,15
28,0,16,1,0,3,4,1,2,0,1,1,0,5,3,3,2,5,4,11,11,11
29,0,16,0,1,4,4,1,2,0,1,1,1,4,4,5,10,5,16,10,12,11
30,0,15,0,1,4,4,1,2,0,1,1,0,5,4,2,7,5,0,9,11,12
31,0,15,0,1,4,4,2,2,0,1,1,0,4,3,1,2,5,0,17,16,17
32,0,15,0,1,4,3,1,2,0,1,1,1,4,5,2,2,5,0,17,16,16
33,0,15,1,1,3,3,1,2,0,0,1,0,5,3,2,2,2,0,8,10,12
34,0,16,0,1,3,2,1,1,0,1,1,0,5,4,3,2,5,0,12,14,15
35,1,15,0,1,2,3,2,1,0,1,0,0,3,5,1,2,5,0,8,7,6
36,0,15,1,1,4,3,1,3,0,1,1,0,5,4,3,2,4,2,15,16,18
37,0,16,0,0,4,4,2,3,0,1,1,1,2,4,3,2,5,7,15,16,15
38,1,15,0,1,3,4,1,3,0,1,1,0,4,3,2,2,5,2,12,12,11
39,1,15,0,1,2,2,1,1,0,1,0,0,4,3,1,2,2,8,14,13,13
40,1,16,1,1,2,2,2,2,1,1,1,1,3,3,3,3,3,25,7,10,11
41,0,15,1,1,4,4,1,1,0,1,1,1,5,4,3,6,5,8,12,12,12
42,0,15,0,1,4,4,1,2,0,1,1,0,4,3,3,2,5,2,19,18,18
43,0,15,0,1,2,2,1,1,0,1,1,0,5,4,1,2,1,0,8,8,11
44,1,16,1,1,2,2,2,2,1,0,1,0,4,3,3,4,5,14,10,10,9
45,1,15,1,0,4,3,1,2,0,1,1,1,5,2,2,2,5,8,8,8,6
46,1,16,1,0,3,3,1,2,0,1,1,0,2,3,5,5,3,12,11,12,11
47,0,16,0,1,4,3,1,4,0,0,1,0,4,2,2,2,2,4,19,19,20
48,0,15,0,1,4,2,1,2,0,1,0,0,4,3,3,4,5,2,15,15,14
49,1,15,0,1,4,4,1,2,1,1,1,0,4,4,4,2,3,2,7,7,7
50,1,16,1,1,2,2,3,2,0,1,1,0,4,3,3,5,4,2,12,13,13
51,1,15,1,1,4,2,1,2,0,1,1,0,4,3,3,2,5,2,11,13,13
52,0,15,1,0,4,2,2,1,1,0,0,0,5,5,5,7,5,6,11,11,10
53,1,15,0,1,4,4,1,1,0,1,1,0,3,3,4,5,5,0,8,10,11
54,1,15,1,0,3,3,1,1,0,0,1,0,5,3,4,8,1,6,10,13,13
55,1,16,0,0,2,1,1,2,0,0,1,1,5,3,4,2,2,8,8,9,10
56,1,15,0,0,4,3,1,2,0,1,1,0,4,3,2,2,1,0,14,15,15
57,0,15,0,1,4,4,1,2,0,1,0,0,3,2,2,2,5,4,14,15,15
58,0,15,1,1,1,2,1,2,0,1,1,0,4,3,2,2,5,2,9,10,9
59,1,16,0,1,4,2,1,2,0,1,1,0,4,2,3,2,5,2,15,16,16
60,1,16,0,1,4,4,1,2,0,1,0,0,2,4,4,5,4,6,10,11,11
61,1,16,0,1,1,1,4,1,0,1,1,1,5,5,5,10,5,6,10,8,11
62,1,16,1,1,1,2,1,2,0,0,1,0,4,4,3,2,1,4,8,10,9
63,1,16,0,1,4,3,1,3,0,1,1,0,3,4,4,6,4,2,10,9,9
64,1,15,1,1,4,3,1,2,0,0,1,1,4,4,4,6,2,0,10,10,10
65,1,16,1,1,4,3,3,2,0,1,1,0,5,4,3,3,1,2,16,15,15
66,0,15,0,0,4,4,1,4,0,1,1,1,1,3,3,10,3,4,13,13,12
67,1,16,0,1,3,1,1,4,0,1,1,0,4,3,3,3,5,4,7,7,6
68,1,15,1,1,2,2,2,2,0,1,1,0,4,1,3,4,4,2,8,9,8
69,1,15,1,1,3,1,2,4,0,1,1,0,4,4,2,5,3,12,16,16,16
70,0,16,0,1,3,1,2,4,0,1,1,0,4,3,2,2,5,0,13,15,15
71,0,15,0,1,4,2,1,4,0,0,1,0,3,3,3,2,3,0,10,10,10
72,1,15,0,1,1,1,1,2,2,1,1,1,3,3,4,6,5,2,8,6,5
73,0,16,0,1,3,1,1,1,0,0,0,0,5,3,2,4,5,2,12,12,14
74,1,16,0,1,3,3,1,2,0,1,1,0,4,3,3,6,5,54,11,12,11
75,0,15,0,1,4,3,1,2,0,1,1,0,4,3,3,5,5,6,9,9,10
76,0,15,0,1,4,0,2,4,0,0,1,0,3,4,3,2,1,8,11,11,10
77,1,16,0,1,2,2,1,4,0,0,1,1,5,2,3,4,3,0,11,11,11
78,0,17,0,1,2,1,2,1,3,1,1,0,4,5,1,2,3,2,8,8,10
79,1,16,0,1,3,4,1,2,0,1,1,0,2,4,3,3,3,12,5,5,5
80,0,15,0,1,2,3,1,1,0,1,1,1,3,2,2,4,3,2,10,12,12
81,0,15,0,1,2,3,1,3,0,0,1,0,5,3,2,3,5,4,11,10,11
82,1,15,1,1,3,2,1,2,0,1,1,0,4,4,4,2,5,10,7,6,6
83,0,15,1,1,2,2,2,2,0,0,1,0,5,3,3,4,4,4,15,15,15
84,1,15,0,1,1,1,1,2,0,1,1,0,4,3,2,5,4,2,9,10,10
85,1,15,0,1,4,4,2,2,2,0,1,1,4,4,4,5,5,6,7,9,8
86,1,16,1,1,2,2,1,2,0,1,0,0,4,3,4,3,2,4,8,7,6
87,1,15,0,1,4,2,1,3,0,1,1,0,5,3,3,4,1,4,13,14,14
88,0,16,0,1,2,2,2,2,1,0,1,0,4,4,2,2,3,12,11,10,10
89,0,16,1,0,4,4,1,2,0,1,0,0,4,1,3,8,5,18,8,6,7
90,1,16,0,1,3,3,1,3,0,1,1,1,4,3,3,4,4,0,7,7,8
91,1,15,0,1,4,3,1,1,0,0,1,0,4,5,5,4,1,4,16,17,18
92,1,16,1,1,3,1,1,2,0,1,0,0,3,3,3,5,2,4,7,6,6
93,1,16,0,1,4,2,2,2,0,1,1,0,5,3,3,2,1,0,11,10,10
94,0,15,1,1,2,2,1,4,0,1,1,0,4,3,4,2,4,6,11,13,14
95,1,15,0,1,1,1,2,4,1,1,1,0,3,1,2,2,1,2,7,10,10
96,0,16,0,1,4,3,2,1,0,1,1,0,3,3,3,2,4,2,11,15,15
97,1,16,0,1,2,1,1,2,0,1,0,1,4,3,5,2,5,2,8,9,10
98,1,16,0,1,4,4,1,1,0,0,1,0,5,3,4,3,1,6,11,14,14
99,1,16,0,1,4,3,1,3,0,1,1,0,5,3,5,2,3,0,7,9,8
100,0,16,0,1,4,4,1,1,0,1,1,0,4,5,5,10,4,14,7,7,5
101,0,16,0,1,4,4,1,3,0,1,1,1,4,4,3,2,4,0,16,17,17
102,0,15,0,1,4,4,1,1,0,1,1,0,5,3,3,2,5,4,10,13,14
103,1,15,0,1,3,2,2,2,0,1,1,0,4,3,5,2,2,26,7,6,6
104,0,15,0,0,3,4,1,2,0,1,1,0,5,4,4,2,1,0,16,18,18
105,1,15,0,0,3,3,1,4,0,0,0,0,4,3,3,2,4,10,10,11,11
106,1,15,0,1,2,2,1,4,0,1,1,0,5,1,2,2,3,8,7,8,8
107,0,16,0,1,3,3,1,3,0,1,1,0,5,3,3,2,5,2,16,18,18
108,0,15,0,1,4,4,4,4,0,1,1,1,1,3,5,8,1,6,10,13,13
109,1,16,1,1,4,4,1,3,0,1,1,1,5,4,5,2,4,4,14,15,16
110,0,15,1,0,4,4,1,1,0,0,1,0,5,5,3,2,4,6,18,19,19
111,1,16,0,1,3,3,1,3,1,1,1,0,4,1,2,2,2,0,7,10,10
112,1,16,0,1,2,2,1,2,1,0,1,0,3,1,2,2,5,6,10,13,13
113,0,15,1,1,4,2,1,1,0,0,1,0,3,5,2,2,3,10,18,19,19
114,0,15,0,1,2,1,1,2,0,0,1,1,5,4,2,2,5,8,9,9,9
115,0,16,0,1,4,4,1,2,0,1,1,0,5,4,4,3,5,2,15,15,16
116,0,15,0,1,4,4,2,2,0,1,0,0,4,4,3,2,2,2,11,13,14
117,0,16,0,1,3,3,2,1,0,0,1,0,5,4,2,2,5,0,13,14,13
118,0,17,0,1,1,3,3,2,1,1,1,0,5,2,4,5,5,20,9,7,8
119,0,15,0,1,3,4,1,1,0,0,1,0,3,4,3,3,4,6,14,13,13
120,1,15,0,1,1,2,1,2,0,0,1,0,3,2,3,3,1,2,16,15,15
121,0,15,0,1,2,2,1,4,0,1,1,0,5,5,4,3,5,6,16,14,15
122,1,16,1,1,2,4,2,2,0,1,1,1,4,2,2,3,5,2,13,13,13
123,0,16,0,1,4,4,1,1,0,1,1,0,3,4,4,5,5,18,14,11,13
124,1,16,0,1,2,2,1,2,0,0,1,1,5,4,4,2,5,0,8,7,8
125,0,15,0,1,3,4,1,1,0,0,1,0,5,5,5,5,5,0,13,13,12
126,1,15,1,0,3,4,1,2,0,0,1,1,5,3,2,2,1,0,7,10,11
127,1,19,0,1,0,1,1,2,3,1,0,0,3,4,2,2,5,2,7,8,9
128,0,18,0,1,2,2,1,1,2,1,1,0,3,3,3,3,4,0,7,4,0
129,0,16,0,1,4,4,1,1,0,0,1,0,3,5,5,7,4,8,18,18,18
130,1,15,0,1,3,4,2,3,2,1,1,1,4,2,2,4,5,0,12,0,0
131,1,15,0,1,1,1,3,1,0,1,1,1,4,3,3,3,4,0,8,0,0
132,1,17,1,1,2,2,1,1,0,1,1,1,3,4,4,4,5,12,10,13,12
133,1,16,0,0,3,4,1,1,0,0,1,0,3,2,1,5,5,16,12,11,11
134,0,15,0,1,3,4,4,2,0,1,0,1,5,3,3,2,5,0,9,0,0
135,1,15,0,1,4,4,1,3,0,1,1,1,4,3,3,2,5,0,11,0,0
136,0,17,0,1,3,4,3,2,0,0,0,0,5,4,5,6,5,0,10,0,0
137,1,16,0,0,3,3,2,1,2,1,1,1,4,3,2,2,5,0,4,0,0
138,0,16,1,1,1,1,1,2,1,0,0,1,4,4,4,4,5,0,14,12,12
139,1,15,0,1,4,4,2,1,0,0,1,0,4,3,2,2,5,0,16,16,15
140,0,15,0,1,4,3,2,4,0,1,1,0,2,2,2,2,3,0,7,9,0
141,0,16,1,1,2,2,2,1,2,1,1,0,2,3,3,4,2,8,9,9,9
142,1,15,0,1,4,4,1,3,0,1,1,0,4,2,2,2,5,2,9,11,11
143,1,16,1,1,1,1,1,1,0,0,1,0,3,4,4,6,1,2,14,14,13
144,0,17,0,1,2,1,1,1,3,1,1,0,5,4,5,3,5,0,5,0,0
145,1,15,0,1,1,1,1,2,0,1,1,0,4,4,2,3,5,0,8,11,11
146,1,15,0,1,3,2,1,2,3,1,1,0,3,3,2,2,3,0,6,7,0
147,1,15,0,1,1,2,1,2,0,1,1,0,4,3,2,2,5,2,10,11,11
148,0,16,0,1,4,4,1,1,0,1,1,1,3,3,2,3,5,0,7,6,0
149,0,15,1,0,2,1,4,1,3,0,1,0,4,5,5,7,5,0,8,9,10
150,0,18,1,1,1,1,1,1,3,0,1,1,2,3,5,7,4,0,6,5,0
151,0,16,1,1,2,1,1,1,1,0,0,1,4,4,4,8,5,6,12,13,14
152,1,15,0,1,3,3,2,3,2,1,1,1,4,2,1,5,3,8,10,10,10
153,0,19,0,1,3,2,1,1,3,1,1,1,4,5,4,2,4,0,5,0,0
154,1,17,0,1,4,4,1,1,0,1,0,1,4,2,1,2,4,0,11,11,12
155,0,15,0,1,2,3,1,2,0,0,0,0,4,4,4,2,1,2,11,8,8
156,0,17,1,1,1,2,1,1,0,0,0,0,2,2,2,6,5,8,16,12,13
157,1,18,0,1,1,1,3,1,3,1,0,0,5,2,5,6,4,6,9,8,10
158,0,16,0,1,2,2,3,1,0,0,0,0,4,2,2,3,3,2,17,15,15
159,0,16,0,1,3,3,1,2,1,1,1,1,4,5,5,8,5,4,10,12,12
160,0,17,1,1,2,1,2,1,2,0,1,1,3,3,2,4,5,0,7,6,0
161,0,15,0,1,3,2,2,2,2,1,1,1,4,4,4,5,3,6,5,9,7
162,0,16,1,1,1,2,2,1,1,0,0,0,4,4,4,6,5,0,7,0,0
163,0,17,0,1,1,3,1,1,0,0,1,0,5,3,3,5,2,2,10,10,10
164,0,17,1,1,1,1,4,2,3,0,0,1,5,3,5,6,5,0,5,8,7
165,0,16,0,1,3,2,2,1,1,1,0,0,4,5,2,2,2,16,12,11,12
166,0,16,0,1,2,2,1,2,0,0,1,0,4,3,5,6,4,4,10,10,10
167,1,16,0,1,4,2,1,2,0,0,1,1,4,2,3,2,3,0,14,15,16
168,1,16,0,1,2,2,1,2,0,1,1,0,5,1,5,2,4,0,6,7,0
169,1,16,0,1,4,4,1,2,0,1,1,1,4,4,2,2,3,0,14,14,14
170,0,16,0,1,3,4,3,1,2,1,1,0,3,4,5,6,2,0,6,5,0
171,0,16,0,1,1,0,2,2,0,1,1,1,4,3,2,2,3,2,13,15,16
172,0,17,1,1,4,4,1,2,0,1,1,0,4,4,4,4,5,0,13,11,10
173,1,16,0,1,1,3,1,2,3,0,1,1,4,3,5,2,3,0,8,7,0
174,1,16,1,1,3,3,2,2,0,1,1,0,4,4,5,2,4,4,10,11,9
175,0,17,1,1,4,3,2,2,0,0,1,0,4,4,4,8,4,4,10,9,9
176,1,16,0,1,2,2,2,2,0,0,1,0,3,4,4,5,5,2,13,13,11
177,0,17,0,1,3,3,1,2,0,0,1,0,4,3,4,5,4,4,6,5,6
178,0,16,0,1,4,2,1,1,0,1,1,1,4,3,3,7,3,10,10,8,9
179,0,17,0,1,4,3,1,2,0,1,1,1,5,2,3,2,2,4,10,10,11
180,0,16,0,1,4,3,1,2,0,1,1,0,3,4,3,5,3,10,9,8,8
181,0,16,0,1,3,3,1,2,0,0,1,1,4,2,3,3,3,2,12,13,12
182,1,17,0,1,2,4,1,2,0,1,0,0,5,4,2,5,5,0,16,17,17
183,1,17,1,1,3,3,1,2,0,1,1,1,5,3,3,5,1,56,9,9,8
184,1,16,0,1,3,2,1,2,0,1,1,0,1,2,2,3,1,14,12,13,12
185,0,17,0,1,3,3,1,2,0,1,1,1,4,3,4,5,4,12,12,12,11
186,0,16,0,1,1,2,1,1,0,1,1,1,3,3,3,3,3,2,11,12,11
187,0,16,1,1,2,1,1,2,0,0,1,1,4,2,3,3,5,0,15,15,15
188,1,17,0,0,3,3,1,2,0,1,1,1,3,3,3,4,3,6,8,7,9
189,0,17,0,1,1,2,1,2,0,0,0,0,3,1,3,6,3,4,8,9,10
190,1,16,0,1,2,3,1,2,0,0,1,0,4,3,3,2,2,10,11,12,13
191,1,17,0,1,1,1,1,2,0,0,1,0,5,3,3,2,3,0,8,8,9
192,0,17,0,1,1,2,2,2,0,0,1,0,4,4,4,9,5,12,7,8,8
193,0,16,0,1,3,3,1,1,0,1,1,0,4,3,2,7,5,8,8,9,10
194,0,16,0,1,2,3,2,1,0,0,1,0,5,3,3,2,3,0,13,14,14
195,1,17,1,1,2,4,1,2,0,0,1,1,4,3,2,2,5,0,14,15,15
196,0,17,0,1,4,4,1,1,0,0,1,0,5,2,3,3,5,4,17,15,16
197,0,16,1,1,3,3,3,1,0,1,1,0,3,3,4,8,3,8,9,9,10
198,1,17,0,1,4,4,2,1,1,1,1,0,4,2,4,5,2,24,18,18,18
199,1,16,1,1,4,4,1,2,0,1,1,0,4,5,2,3,3,0,9,9,10
200,1,16,0,1,4,3,1,2,0,1,1,0,4,3,5,6,2,2,16,16,16
201,1,16,0,1,2,3,1,2,0,1,0,0,4,4,3,4,4,6,8,10,10
202,1,17,0,1,1,1,1,2,0,1,0,0,4,4,4,4,1,4,9,9,10
203,1,17,0,1,2,2,1,1,0,1,1,0,5,3,2,3,3,18,7,6,6
204,1,16,0,1,2,2,2,4,0,1,1,0,5,3,5,2,5,6,10,10,11
205,1,17,0,1,3,4,1,3,1,1,1,1,4,4,3,7,5,28,10,9,9
206,1,16,0,0,3,1,1,2,3,1,1,0,2,3,3,4,4,5,7,7,7
207,1,16,0,1,4,3,1,2,0,0,1,1,1,3,2,2,1,10,11,12,13
208,1,16,0,1,1,1,2,1,0,1,0,0,4,3,2,5,5,6,9,9,10
209,1,17,0,1,4,3,2,3,0,1,1,1,4,4,2,2,4,6,7,7,7
210,1,19,0,1,3,3,1,4,0,1,1,0,4,3,3,3,3,10,8,8,8
211,0,17,1,1,4,4,1,2,0,1,1,1,5,3,5,9,3,13,12,12,13
212,1,16,0,0,2,2,1,2,0,1,1,0,3,3,4,2,4,0,12,13,14
213,0,18,0,1,2,2,1,2,1,1,1,0,4,4,4,6,5,15,6,7,8
214,1,17,1,1,4,4,1,1,0,1,0,0,5,2,1,3,3,12,8,10,10
215,1,17,1,1,3,2,2,2,0,0,1,0,4,4,4,4,1,2,14,15,15
216,1,17,0,1,4,3,1,2,2,0,1,1,3,4,5,6,1,22,6,6,4
217,0,18,1,1,3,3,1,2,1,1,1,0,3,2,4,6,4,13,6,6,8
218,1,17,0,1,2,3,2,1,0,1,0,0,3,3,3,5,3,3,7,7,8
219,1,17,0,1,2,2,1,3,0,1,1,0,4,3,3,2,4,4,9,10,10
220,1,17,0,1,2,1,2,2,0,1,1,0,4,2,5,3,5,2,6,6,6
221,1,17,0,1,1,1,1,3,1,1,0,1,4,3,4,2,5,0,6,5,0
222,1,16,0,1,2,3,1,2,0,0,1,0,2,3,1,2,3,2,16,16,17
223,0,18,0,1,2,2,2,2,0,1,1,0,3,3,3,10,4,0,12,13,13
224,1,16,0,1,4,4,1,3,0,1,1,0,5,3,2,2,5,0,13,13,14
225,1,18,0,1,3,1,1,2,1,0,1,1,5,3,3,2,4,16,9,8,7
226,1,17,0,1,3,2,1,2,0,0,1,0,5,3,4,4,3,10,16,15,15
227,0,17,1,1,2,3,1,2,0,1,1,0,5,3,3,4,3,2,12,11,12
228,0,18,1,1,2,1,4,2,0,1,1,1,4,3,2,9,3,14,10,8,9
229,1,17,0,0,2,1,2,3,0,0,1,1,3,2,3,3,3,10,12,10,12
230,1,17,1,1,4,3,1,2,0,0,1,1,3,2,3,3,3,14,13,13,14
231,0,17,0,1,2,2,2,2,0,1,1,0,4,5,2,2,1,4,11,11,11
232,0,17,0,1,4,4,1,2,0,1,1,1,4,5,5,4,2,14,11,9,9
233,0,16,0,1,4,4,1,2,0,1,1,0,4,2,4,6,1,2,14,13,13
234,0,16,1,1,1,1,2,2,0,1,1,0,3,4,2,2,5,18,9,7,6
235,0,16,0,1,3,2,2,3,0,0,1,1,5,3,3,4,2,10,11,9,10
236,0,17,1,1,2,2,1,2,0,0,1,1,4,4,2,10,4,4,14,13,13
237,1,16,0,1,2,1,1,1,0,0,1,1,4,5,2,2,5,20,13,12,12
238,1,17,0,1,2,1,3,2,0,0,0,0,2,1,1,2,3,2,13,11,11
239,0,18,0,1,2,2,1,2,1,0,1,0,5,5,4,8,2,0,7,7,0
240,0,17,1,1,4,3,2,2,0,0,1,1,2,5,5,5,5,14,12,12,12
241,0,17,1,0,4,4,2,2,0,1,1,0,3,3,3,5,4,2,10,11,12
242,0,16,1,1,4,3,1,1,0,0,1,0,5,4,5,2,3,0,6,0,0
243,0,16,0,1,4,4,1,1,0,0,1,0,5,3,2,3,5,0,13,12,12
244,1,18,0,1,2,1,2,3,0,1,1,1,4,4,4,2,3,0,7,0,0
245,0,16,0,1,2,1,3,1,0,0,1,0,4,3,3,2,4,6,18,18,18
246,0,17,0,1,2,3,2,1,0,0,1,0,5,2,2,2,2,4,12,12,13
247,0,22,0,1,3,1,1,1,3,0,1,1,5,4,5,10,1,16,6,8,8
248,0,18,1,1,3,3,1,2,1,1,1,1,4,3,3,4,5,8,3,5,5
249,0,16,0,1,0,2,1,1,0,0,1,0,4,3,2,6,5,0,13,15,15
250,0,18,0,1,3,2,2,1,1,0,1,0,4,4,5,6,5,0,6,8,8
251,0,16,0,1,3,3,3,2,0,1,1,0,5,3,3,4,2,6,7,10,10
252,0,18,0,1,2,1,1,1,1,0,1,0,3,2,5,7,5,4,6,9,8
253,0,16,0,1,2,1,2,1,0,0,0,0,3,3,2,4,3,0,8,9,8
254,0,17,0,1,2,1,1,1,0,0,1,0,4,4,2,6,5,0,8,12,12
255,0,17,1,1,1,1,2,1,1,1,1,0,4,4,4,3,5,2,7,9,8
256,1,17,1,1,4,2,1,4,0,1,1,0,4,2,3,2,4,6,14,12,13
257,0,19,1,0,4,3,1,2,0,1,1,0,4,3,1,2,1,12,11,11,11
258,0,18,0,1,2,1,1,2,0,0,1,0,5,2,4,3,4,8,15,14,14
259,1,17,1,1,2,2,1,4,0,0,1,1,3,4,1,2,2,0,10,9,0
260,1,18,0,1,4,3,1,2,0,1,1,1,3,1,2,4,2,21,17,18,18
261,0,18,0,1,4,3,1,2,0,1,1,0,4,3,2,2,3,2,8,8,8
262,0,18,0,1,3,2,1,3,0,0,0,0,5,3,2,2,3,1,13,12,12
263,1,17,0,1,3,3,1,3,0,0,0,0,3,2,3,2,4,4,10,9,9
264,1,18,0,1,2,2,1,3,0,1,1,1,4,3,3,2,3,0,9,10,0
265,0,18,1,0,3,4,2,2,0,1,1,0,4,2,5,7,1,13,17,17,17
266,0,17,0,1,3,1,1,2,0,0,1,1,5,4,4,7,5,2,9,9,10
267,1,18,0,1,4,4,2,2,0,0,1,0,4,3,4,4,4,8,12,10,11
268,0,18,0,1,4,2,1,2,0,1,1,1,5,4,5,4,5,10,10,9,10
269,1,18,0,1,2,1,2,2,0,1,1,1,4,3,5,3,3,0,6,0,0
270,1,19,0,1,3,3,1,2,2,1,1,0,4,3,5,6,5,15,9,9,9
271,1,18,0,1,2,3,1,4,0,1,1,1,4,5,5,4,2,4,15,14,14
272,1,18,1,1,1,1,2,2,0,1,0,0,4,4,3,2,3,2,11,11,11
273,0,17,0,1,1,2,1,2,0,1,0,1,3,5,2,4,1,2,15,14,14
274,1,17,0,1,2,4,2,2,0,1,1,1,4,3,3,2,1,2,10,10,10
275,1,17,1,1,2,2,2,2,0,1,1,1,4,4,4,5,5,6,12,12,12
276,1,18,0,0,3,2,2,2,0,0,1,1,4,1,1,2,5,75,10,9,9
277,0,18,0,1,4,4,2,1,0,0,1,0,3,2,4,5,3,22,9,9,9
278,1,18,0,1,4,4,1,2,1,1,1,1,2,4,4,2,4,15,9,8,8
279,0,18,1,1,4,3,2,1,0,0,1,0,4,2,3,3,1,8,10,11,10
280,0,17,1,0,4,1,2,1,0,0,1,1,4,5,4,6,5,30,8,8,8
281,0,17,1,0,3,2,1,1,1,0,1,0,4,4,4,7,3,19,11,9,10
282,1,18,1,1,1,1,2,4,0,1,0,0,5,2,2,2,3,1,12,12,12
283,1,18,0,1,1,1,2,2,0,0,1,0,5,4,4,2,4,4,8,9,10
284,1,17,0,1,2,2,1,2,0,1,1,0,5,4,5,3,5,4,10,9,11
285,0,17,0,1,1,1,1,2,0,0,1,0,4,3,3,3,4,2,12,10,11
286,1,18,0,1,2,2,1,3,0,1,1,0,4,3,3,3,2,5,18,18,19
287,1,17,0,1,1,1,1,3,0,1,1,0,4,3,3,2,3,6,13,12,12
288,0,18,0,1,2,1,1,3,0,0,1,0,4,2,4,4,2,6,15,14,14
289,0,18,1,0,4,4,1,2,0,1,1,0,5,4,3,2,2,9,15,13,15
290,0,18,0,1,4,2,1,2,0,1,1,1,4,3,2,5,5,11,12,11,11
291,1,17,0,1,4,3,1,3,0,1,1,0,4,2,2,3,3,0,15,15,15
292,1,18,1,1,2,1,1,2,1,0,1,1,5,4,3,2,5,12,12,12,13
293,1,17,1,1,3,1,2,4,0,1,0,0,3,1,2,2,3,6,18,18,18
294,0,18,1,1,3,2,2,3,0,1,1,0,5,4,2,2,4,8,14,13,14
295,0,17,0,1,3,3,1,1,0,1,1,0,4,4,3,4,5,4,14,12,11
296,1,19,0,1,4,4,2,2,0,1,1,0,2,3,4,5,2,0,10,9,0
297,1,18,1,1,4,3,2,2,0,1,1,1,4,4,5,3,2,10,10,8,8
298,1,18,0,1,4,3,1,4,0,1,1,0,4,3,3,2,3,0,14,13,14
299,0,18,1,1,4,4,1,1,0,1,1,1,1,4,2,4,1,5,16,15,16
300,1,18,1,0,4,4,1,2,0,1,1,1,4,2,4,2,4,14,12,10,11
301,0,17,1,1,4,4,2,1,0,0,1,0,4,1,1,4,5,0,11,11,10
302,1,17,0,1,4,2,2,3,0,1,1,0,4,3,3,2,3,0,15,12,14
303,1,17,0,1,3,2,1,4,0,1,1,0,5,2,2,3,5,0,17,17,18
304,0,19,0,1,3,3,1,2,1,1,1,1,4,4,4,2,3,20,15,14,13
305,1,18,0,1,2,4,1,2,1,1,1,0,4,4,3,2,3,8,14,12,12
306,0,20,0,0,3,2,1,1,0,0,0,0,5,5,3,2,5,0,17,18,18
307,0,19,0,1,4,4,2,1,1,1,1,1,4,3,4,2,4,38,8,9,8
308,0,19,0,1,3,3,1,2,1,0,0,1,4,5,3,3,5,0,15,12,12
309,1,19,1,1,1,1,1,2,1,1,1,0,4,4,3,4,3,18,12,10,10
310,1,19,1,1,1,2,1,2,1,0,0,1,4,2,4,4,3,0,9,9,0
311,1,19,0,1,2,1,3,2,0,1,1,1,3,4,1,2,2,20,14,12,13
312,0,19,0,1,1,2,1,2,1,0,1,0,4,5,2,4,4,3,13,11,11
313,1,19,1,1,3,2,2,2,1,1,1,1,4,2,2,3,1,22,13,10,11
